"Name","Ticker","Morningstar Category","US Category Group","Firm Name","Inception 
Date","Manager Name","Clean Share - Service Fee Arrangement","Annual Report 
Net Expense 
Ratio 
Year2017","Annual Report 
Net Expense 
Ratio 
Year2018","Annual Report 
Net Expense 
Ratio 
Year2019","Annual Report 
Net Expense 
Ratio","Net Assets 
Date","Net Assets 
- Share Class 
USD","Fund Size 
Date","Fund Size 
USD","Oldest 
Share Class","Management 
Fee","Prospectus 
Net Expense 
Ratio","Share Class Type","Index 
Fund","Alpha 
1 Yr (Mo-End) 
USD","Alpha 
3 Yr (Mo-End) 
USD","Alpha 
5 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
1 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
3 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
5 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
1 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
3 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
5 Yr (Mo-End) 
USD","Socially 
Conscious","Annual Report 
Expense Waiver 
Year2017","Annual Report 
Expense Waiver 
Year2018","Annual Report 
Expense Waiver 
Year2019","Annual Report 
Expense Waiver","Annual Report Expense Waiver Amount 
Year2017 
USD","Annual Report Expense Waiver Amount 
Year2018 
USD","Annual Report Expense Waiver Amount 
Year2019 
USD","Annual Report Expense Waiver Amount 
USD","Prospectus Expense Waiver","Prospectus Expense Waiver 
Expiration Date","Prospectus Expense Waiver Type","Management Fee 
1st Breakpoint","Management Fee 
2nd Breakpoint","Management Fee 
3rd Breakpoint","Management Fee 
4th Breakpoint","Management Fee 
5th Breakpoint","Management Fee 
6th Breakpoint","Management Fee 
7th Breakpoint","Management Fee 
8th Breakpoint","Management Fee 
9th Breakpoint","Management Fee 
Breakpoint Unit","Net Assets - share class (Monthly) 
2017-01 
USD","Net Assets - share class (Monthly) 
2017-02 
USD","Net Assets - share class (Monthly) 
2017-03 
USD","Net Assets - share class (Monthly) 
2017-04 
USD","Net Assets - share class (Monthly) 
2017-05 
USD","Net Assets - share class (Monthly) 
2017-06 
USD","Net Assets - share class (Monthly) 
2017-07 
USD","Net Assets - share class (Monthly) 
2017-08 
USD","Net Assets - share class (Monthly) 
2017-09 
USD","Net Assets - share class (Monthly) 
2017-10 
USD","Net Assets - share class (Monthly) 
2017-11 
USD","Net Assets - share class (Monthly) 
2017-12 
USD","Net Assets - share class (Monthly) 
2018-01 
USD","Net Assets - share class (Monthly) 
2018-02 
USD","Net Assets - share class (Monthly) 
2018-03 
USD","Net Assets - share class (Monthly) 
2018-04 
USD","Net Assets - share class (Monthly) 
2018-05 
USD","Net Assets - share class (Monthly) 
2018-06 
USD","Net Assets - share class (Monthly) 
2018-07 
USD","Net Assets - share class (Monthly) 
2018-08 
USD","Net Assets - share class (Monthly) 
2018-09 
USD","Net Assets - share class (Monthly) 
2018-10 
USD","Net Assets - share class (Monthly) 
2018-11 
USD","Net Assets - share class (Monthly) 
2018-12 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD"
"Wells Fargo Target 2055 Admin","WFLHX","US Fund Target-Date 2055","Allocation","Wells Fargo Funds","2011-07-01","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.72","0.62","0.37","0.54","2020-06-11","790,575.00","2020-06-11","26,259,897.00","No","0.10","0.49","Other","No","-5.83","-2.87","-2.61","-469,327.93","-8,717,906.33","-15,759,471.68","-11,305,354.33","-110,666,228.19","-207,846,033.58","No","0.10","0.32","0.65","0.59","19,868","25,158","20,677","6,485","0.65","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","11,303,763.00","12,103,006.00","9,763,910.00","9,303,782.00","8,885,031.00","8,543,089.00","8,869,640.00","9,269,845.00","5,764,408.00","5,955,301.00","6,029,054.00","5,816,491.00","5,942,220.00","5,675,099.00","5,417,316.00","5,413,447.00","5,635,277.00","5,193,611.00","2,754,887.00","2,370,957.00","2,443,793.00","1,727,759.00","1,266,750.00","1,125,030.00","1,223,785.00","1,197,935.00","1,220,475.00","1,247,663.00","1,207,663.00","1,293,159.00","1,308,871.00","956,675.00","1,000,112.00","1,041,329.00","1,072,644.00","811,221.00"
"Wells Fargo Target 2055 R","WFYRX","US Fund Target-Date 2055","Allocation","Wells Fargo Funds","2013-06-28","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.08","0.96","0.72","0.89","2020-06-11","41,088.00","2020-06-11","26,259,897.00","No","0.10","0.85","Retirement","No","-6.17","-3.21","-2.97","3,958.82","-584.94","2,374.25","-11,305,354.33","-110,666,228.19","-207,846,033.58","No","0.10","0.33","0.64","0.56","53","140","268","236","0.62","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","38,835.00","40,249.00","40,967.00","38,562.00","39,399.00","42,893.00","44,030.00","43,603.00","44,904.00","46,036.00","47,510.00","41,820.00","43,934.00","42,402.00","37,502.00","38,049.00","38,789.00","42,034.00","43,588.00","44,415.00","44,849.00","42,294.00","43,642.00","38,114.00","41,192.00","42,693.00","43,371.00","38,165.00","36,996.00","39,089.00","39,477.00","41,096.00","42,166.00","43,408.00","43,229.00","44,190.00"
"Wells Fargo Target 2055 R4","WFVRX","US Fund Target-Date 2055","Allocation","Wells Fargo Funds","2012-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.52","0.44","0.17","0.34","2020-06-11","2,265,772.00","2020-06-11","26,259,897.00","No","0.10","0.29","Retirement","No","-5.63","-2.65","-2.41","-3,915,373.88","-45,413,959.75","-39,852,249.72","-11,305,354.33","-110,666,228.19","-207,846,033.58","No","0.10","0.32","0.65","0.60","36,045","97,527","91,356","44,398","0.65","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","41,410,763.00","43,702,533.00","43,326,052.00","43,943,303.00","45,294,608.00","46,406,870.00","25,334,218.00","25,947,543.00","26,913,117.00","22,618,152.00","21,691,925.00","21,080,351.00","16,412,981.00","16,576,211.00","15,990,018.00","15,012,913.00","15,552,574.00","15,951,335.00","16,863,722.00","17,335,590.00","14,114,631.00","13,435,898.00","14,024,896.00","13,301,490.00","7,733,924.00","8,191,086.00","7,881,994.00","8,260,974.00","6,195,970.00","6,642,031.00","6,903,540.00","7,029,296.00","7,403,464.00","7,727,668.00","7,930,442.00","8,582,215.00"
"Wells Fargo Target 2055 R6","WFQUX","US Fund Target-Date 2055","Allocation","Wells Fargo Funds","2011-07-01","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Unbundled","0.37","0.26","0.02","0.19","2020-06-11","16,859,203.00","2020-06-11","26,259,897.00","Yes","0.10","0.14","Retirement","No","-5.50","-2.50","-2.25","-2,673,372.73","-52,422,952.07","-144,965,522.50","-11,305,354.33","-110,666,228.19","-207,846,033.58","No","0.10","0.32","0.65","0.59","178,053","194,209","264,957","121,106","0.70","2021-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","59,605,479.00","63,302,683.00","67,574,417.00","70,054,499.00","67,044,549.00","61,104,221.00","63,624,657.00","57,062,812.00","52,396,708.00","53,560,368.00","52,474,695.00","54,047,779.00","57,344,367.00","56,475,773.00","55,594,755.00","53,081,926.00","51,337,233.00","46,363,963.00","46,749,123.00","48,279,083.00","47,794,847.00","37,569,120.00","36,118,790.00","16,919,303.00","17,493,189.00","18,481,731.00","19,096,770.00","19,865,025.00","19,412,878.00","19,332,787.00","19,822,082.00","20,248,511.00","20,960,395.00","21,217,633.00","22,045,213.00","23,415,764.00"
"Wells Fargo Target 2060 A","WFAFX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","0.83","0.71","0.48","0.64","2020-06-11","956,485.00","2020-06-11","23,241,398.00","No","0.10","0.60","A","No","-5.74","-2.96","","195,521.94","189,080.79","799,437.57","4,393,289.52","-7,531,777.54","18,227,943.97","No","1.54","1.01","1.88","0.97","4,887","7,760","13,794","8,094","1.86","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","637,063.00","672,119.00","623,020.00","647,125.00","677,105.00","707,620.00","733,113.00","649,609.00","777,090.00","885,349.00","902,782.00","981,379.00","825,708.00","904,253.00","888,793.00","898,820.00","629,173.00","634,138.00","882,875.00","894,056.00","815,743.00","775,308.00","807,032.00","434,422.00","628,072.00","668,374.00","695,138.00","726,088.00","712,496.00","778,682.00","871,856.00","805,326.00","836,080.00","879,438.00","924,488.00","987,859.00"
"Wells Fargo Target 2060 Admin","WFDFX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.72","0.61","0.37","0.54","2020-06-11","2,914,877.00","2020-06-11","23,241,398.00","No","0.10","0.49","Other","No","-5.72","-2.84","","-40,883.16","-2,950,998.13","2,047,038.60","4,393,289.52","-7,531,777.54","18,227,943.97","No","1.54","1.01","1.88","0.99","37,954","49,036","77,184","34,410","1.89","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","4,426,048.00","4,845,392.00","4,935,088.00","5,323,554.00","5,493,971.00","5,419,312.00","4,977,153.00","5,038,617.00","4,442,664.00","4,593,330.00","4,431,607.00","4,530,506.00","4,541,815.00","4,274,332.00","4,477,769.00","4,788,352.00","5,097,999.00","4,841,693.00","4,635,733.00","4,374,818.00","4,468,974.00","3,789,316.00","3,444,137.00","3,292,414.00","2,805,009.00","3,061,830.00","3,223,616.00","3,244,860.00","3,005,073.00","3,210,728.00","3,308,393.00","3,350,136.00","3,504,163.00","3,600,941.00","3,715,425.00","3,801,491.00"
"Wells Fargo Target 2060 C","WFCFX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.58","1.47","1.23","1.39","2020-06-11","139,398.00","2020-06-11","23,241,398.00","No","0.10","1.35","C","No","-6.57","-3.73","","-54,023.16","-131,218.13","79,348.98","4,393,289.52","-7,531,777.54","18,227,943.97","No","1.54","1.01","1.88","0.96","3,427","2,463","3,844","1,855","1.86","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","244,243.00","252,000.00","233,238.00","237,580.00","241,709.00","244,587.00","253,358.00","257,442.00","261,577.00","232,662.00","287,461.00","290,765.00","203,053.00","196,254.00","195,585.00","196,875.00","199,102.00","199,579.00","205,565.00","210,655.00","211,869.00","204,140.00","209,446.00","197,470.00","214,517.00","220,998.00","222,444.00","196,105.00","187,728.00","197,819.00","197,771.00","185,338.00","188,958.00","192,212.00","195,551.00","200,305.00"
"Wells Fargo Target 2060 R","WFRFX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.08","0.97","0.73","0.90","2020-06-11","69,429.00","2020-06-11","23,241,398.00","No","0.10","0.85","Retirement","No","-6.10","-3.24","","13,457.85","-77,916.90","40,154.55","4,393,289.52","-7,531,777.54","18,227,943.97","No","1.55","1.01","1.88","0.96","1,709","1,255","983","608","1.86","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","123,572.00","126,933.00","127,929.00","129,728.00","131,739.00","133,649.00","136,273.00","136,957.00","140,079.00","142,273.00","145,787.00","146,972.00","52,148.00","50,324.00","50,457.00","51,183.00","52,189.00","53,691.00","55,625.00","56,734.00","52,281.00","49,458.00","51,304.00","47,405.00","51,509.00","53,655.00","54,676.00","56,780.00","55,715.00","59,160.00","60,668.00","62,196.00","64,349.00","67,142.00","68,741.00","71,638.00"
"Wells Fargo Target 2060 R4","WFSFX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.52","0.41","0.17","0.34","2020-06-11","2,385,085.00","2020-06-11","23,241,398.00","No","0.10","0.29","Retirement","No","-5.48","-2.65","","-12,083.93","-6,112,310.25","1,001,008.57","4,393,289.52","-7,531,777.54","18,227,943.97","No","1.54","1.01","1.88","1.00","44,095","66,664","60,452","25,830","1.89","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","5,780,496.00","6,459,415.00","6,808,432.00","7,253,765.00","7,753,234.00","7,703,872.00","6,343,149.00","6,582,587.00","6,952,243.00","6,936,148.00","6,912,119.00","6,720,213.00","4,995,854.00","5,116,923.00","5,355,359.00","5,268,250.00","4,742,732.00","3,851,056.00","2,518,790.00","2,584,638.00","2,753,808.00","2,640,221.00","2,174,811.00","2,126,308.00","1,919,134.00","2,037,778.00","2,202,776.00","2,352,493.00","2,381,111.00","2,565,716.00","2,572,748.00","2,621,884.00","2,659,721.00","2,769,479.00","2,843,427.00","2,948,608.00"
"Wells Fargo Target 2060 R6","WFUFX","US Fund Target-Date 2060+","Allocation","Wells Fargo Funds","2015-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Unbundled","0.37","0.26","0.02","0.19","2020-06-11","16,776,124.00","2020-06-11","23,241,398.00","Yes","0.10","0.14","Retirement","No","-5.35","-2.49","","4,291,299.98","1,551,585.09","14,260,955.71","4,393,289.52","-7,531,777.54","18,227,943.97","No","1.54","1.01","1.88","0.99","87,529","127,358","250,113","139,760","1.94","2021-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","10,967,599.00","12,109,436.00","12,678,241.00","13,393,820.00","13,928,262.00","14,118,502.00","14,053,164.00","12,696,397.00","11,099,013.00","11,423,254.00","10,874,491.00","11,823,518.00","12,395,519.00","12,103,820.00","13,119,188.00","13,553,711.00","13,200,541.00","14,187,234.00","14,721,817.00","14,939,632.00","15,377,018.00","13,235,484.00","12,111,628.00","10,980,966.00","12,006,853.00","10,488,877.00","11,596,940.00","12,326,061.00","12,213,964.00","13,268,047.00","13,659,591.00","13,929,212.00","14,677,597.00","15,380,488.00","15,442,360.00","16,498,842.00"
"Wells Fargo Target Today A","STWRX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","1994-03-01","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","0.76","0.69","0.52","0.63","2020-06-11","34,725,427.00","2020-06-11","61,373,758.00","Yes","0.10","0.60","A","No","1.27","0.09","-0.26","-4,517,036.69","-25,395,143.15","-45,872,577.79","-10,591,305.63","-353,865,777.83","-716,464,106.29","No","0.12","0.18","0.31","0.35","75,995","98,238","124,269","134,990","0.29","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","56,627,760.00","56,232,027.00","55,788,023.00","55,788,719.00","55,879,545.00","55,118,290.00","54,940,798.00","54,815,777.00","54,181,191.00","53,486,187.00","53,150,575.00","53,578,200.00","48,734,698.00","46,958,327.00","46,806,041.00","45,598,874.00","41,868,013.00","41,571,435.00","41,123,644.00","40,236,407.00","39,945,010.00","38,532,456.00","38,633,836.00","37,316,168.00","36,947,778.00","37,873,021.00","38,166,684.00","38,051,191.00","37,493,200.00","38,258,327.00","38,148,129.00","38,558,557.00","38,721,974.00","38,668,250.00","38,636,764.00","38,194,911.00"
"Wells Fargo Target Today Admin","WFLOX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","1999-11-08","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.65","0.59","0.41","0.53","2020-06-11","6,982,098.00","2020-06-11","61,373,758.00","No","0.10","0.49","Other","No","1.31","0.19","-0.14","-3,121,216.76","-31,543,533.99","-92,073,312.11","-10,591,305.63","-353,865,777.83","-716,464,106.29","No","0.12","0.18","0.31","0.37","67,724","59,719","51,070","33,549","0.32","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","43,317,398.00","42,615,674.00","38,466,039.00","37,644,764.00","36,852,425.00","36,590,003.00","35,991,169.00","34,942,800.00","29,401,623.00","29,162,277.00","28,991,533.00","28,953,579.00","24,833,815.00","24,435,051.00","23,551,688.00","21,360,312.00","21,088,390.00","19,459,061.00","18,249,240.00","17,220,183.00","16,911,898.00","16,336,632.00","9,938,091.00","9,579,292.00","9,580,873.00","9,616,316.00","9,793,232.00","9,912,352.00","9,492,799.00","9,676,734.00","9,297,510.00","9,808,980.00","9,835,535.00","9,040,739.00","9,013,674.00","8,142,108.00"
"Wells Fargo Target Today C","WFODX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","1998-12-01","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.51","1.44","1.27","1.39","2020-06-11","497,998.00","2020-06-11","61,373,758.00","No","0.10","1.35","C","No","0.45","-0.65","-1.01","-397,405.82","-2,315,438.51","-3,015,947.63","-10,591,305.63","-353,865,777.83","-716,464,106.29","No","0.12","0.18","0.31","0.34","3,498","4,751","5,694","2,562","0.29","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","2,807,022.00","2,821,970.00","2,817,170.00","2,818,246.00","2,722,865.00","2,713,205.00","2,694,023.00","2,679,811.00","2,672,803.00","2,524,423.00","2,535,010.00","2,383,742.00","2,307,825.00","2,250,270.00","2,214,961.00","2,152,790.00","2,089,090.00","2,022,234.00","1,982,907.00","1,969,399.00","1,819,850.00","1,716,350.00","1,694,070.00","1,667,606.00","1,710,223.00","922,836.00","934,921.00","941,266.00","880,689.00","901,497.00","903,826.00","885,954.00","651,639.00","614,633.00","631,448.00","633,658.00"
"Wells Fargo Target Today R","WFRRX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2013-06-28","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Bundled","1.01","0.94","0.76","0.90","2020-06-11","31,159.00","2020-06-11","61,373,758.00","No","0.10","0.85","Retirement","No","0.88","-0.19","-0.53","1,237.87","-3,059.84","-1,092.45","-10,591,305.63","-353,865,777.83","-716,464,106.29","No","0.12","0.18","0.31","0.33","36","58","89","98","0.29","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","31,824.00","32,178.00","32,056.00","30,813.00","31,090.00","32,162.00","32,424.00","32,688.00","32,762.00","33,003.00","33,297.00","28,960.00","29,158.00","28,612.00","28,684.00","28,672.00","28,963.00","29,864.00","30,223.00","30,528.00","30,382.00","29,660.00","30,050.00","26,475.00","27,391.00","27,685.00","28,079.00","28,328.00","28,300.00","28,905.00","29,059.00","30,121.00","30,133.00","30,274.00","30,488.00","30,635.00"
"Wells Fargo Target Today R4","WOTRX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2012-11-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Semi-bundled","0.45","0.44","0.21","0.34","2020-06-11","2,177,909.00","2020-06-11","61,373,758.00","No","0.10","0.29","Retirement","No","1.43","0.29","0.00","-652,780.98","-245,265,854.83","-336,944,101.16","-10,591,305.63","-353,865,777.83","-716,464,106.29","No","0.12","0.18","0.31","0.36","321,834","179,582","25,057","9,751","0.32","2020-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","250,016,378.00","249,359,051.00","246,218,804.00","246,399,971.00","245,845,009.00","242,949,805.00","21,881,866.00","21,970,845.00","21,693,098.00","18,989,326.00","17,806,539.00","15,979,354.00","13,093,978.00","12,933,631.00","12,955,050.00","11,833,983.00","11,963,699.00","11,028,697.00","9,179,273.00","8,619,893.00","6,881,931.00","6,620,208.00","5,176,836.00","5,003,297.00","2,794,082.00","2,902,832.00","2,891,202.00","2,915,487.00","2,670,353.00","2,766,151.00","2,799,457.00","2,795,571.00","2,814,125.00","2,585,039.00","2,538,466.00","2,446,064.00"
"Wells Fargo Target Today R6","WOTDX","US Fund Target-Date Retirement","Allocation","Wells Fargo Funds","2004-06-30","Christian L. Chan;Petros N. Bocray;Kandarp R. Acharya;","Unbundled","0.30","0.24","0.06","0.19","2020-06-11","16,959,167.00","2020-06-11","61,373,758.00","No","0.10","0.14","Retirement","No","1.66","0.53","0.20","-1,904,103.25","-49,342,747.53","-234,425,641.06","-10,591,305.63","-353,865,777.83","-716,464,106.29","No","0.12","0.18","0.31","0.36","244,431","95,904","99,380","64,013","0.37","2021-06-30","Contractual","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","70,458,163.00","69,433,424.00","65,999,607.00","66,082,448.00","63,208,248.00","61,012,285.00","50,858,629.00","49,251,749.00","45,268,573.00","44,850,046.00","42,797,231.00","43,785,995.00","42,384,491.00","40,612,691.00","41,357,358.00","38,979,391.00","34,831,754.00","34,871,232.00","35,460,937.00","34,779,041.00","34,433,882.00","31,677,537.00","26,719,204.00","24,716,942.00","22,521,777.00","17,006,500.00","17,568,685.00","17,716,028.00","17,785,586.00","18,057,936.00","17,678,359.00","17,953,880.00","18,419,483.00","17,841,673.00","17,867,684.00","17,799,679.00"
"Wells Fargo U.S. REIT Portfolio","","US Fund Real Estate","Sector Equity","Wells Fargo Funds","2017-05-23","Petros N. Bocray","Unbundled","","0.32","0.23","0.19","","","","","Yes","0.10","0.10","Other","Yes","","","","","","","","","","No","","","0.04","0.28","","2,971","17,660","71,097","","","","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Ultra Short-Term Income A","SADAX","US Fund Ultrashort Bond","Taxable Bond","Wells Fargo Funds","1999-08-31","Jay N. Mueller;Christopher Y. Kauffman;Michael J. Schueller;Noah M. Wise;","Bundled","0.70","0.70","0.70","0.70","2020-06-11","206,907,157.00","2020-06-11","994,552,982.00","No","0.35","0.50","A","No","-2.57","-0.39","0.01","-20,751,110.11","-103,028,657.88","-232,985,593.81","-33,551,431.73","-477,941,273.28","-680,776,705.69","No","0.11","0.12","0.10","0.10","335,522","323,513","227,635","227,635","0.31","2021-12-31","Contractual","1,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","","","","Monetary/Dollars","301,112,460.00","299,601,252.00","300,256,637.00","299,002,695.00","297,623,324.00","295,081,937.00","293,512,070.00","274,394,514.00","270,694,207.00","286,293,287.00","280,494,281.00","267,361,098.00","265,048,445.00","262,520,721.00","263,450,251.00","259,147,506.00","258,839,877.00","256,013,962.00","255,552,734.00","243,839,906.00","241,591,862.00","238,338,269.00","237,492,622.00","232,978,652.00","228,044,293.00","225,771,798.00","226,748,128.00","224,907,330.00","223,586,209.00","221,907,582.00","217,626,575.00","215,134,950.00","211,428,055.00","211,757,365.00","210,939,944.00","212,931,966.00"
"Wells Fargo Ultra Short-Term Income A2","WUSNX","US Fund Ultrashort Bond","Taxable Bond","Wells Fargo Funds","2020-06-01","Jay N. Mueller;Christopher Y. Kauffman;Michael J. Schueller;Noah M. Wise;","","","","","","2020-06-11","25,070.00","2020-06-11","994,552,982.00","No","0.35","0.51","A","No","","","","","","","-33,551,431.73","-477,941,273.28","-680,776,705.69","No","","","","","","","","","0.30","2021-12-31","Contractual","1,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Ultra Short-Term Income Adm","WUSDX","US Fund Ultrashort Bond","Taxable Bond","Wells Fargo Funds","2005-04-08","Jay N. Mueller;Christopher Y. Kauffman;Michael J. Schueller;Noah M. Wise;","Semi-bundled","0.55","0.55","0.55","0.55","2020-06-11","15,079,547.00","2020-06-11","994,552,982.00","No","0.35","0.50","Other","No","-2.50","-0.29","0.10","2,185,104.70","-8,550,692.19","-33,107,753.16","-33,551,431.73","-477,941,273.28","-680,776,705.69","No","0.11","0.12","0.19","0.19","28,339","31,009","25,906","25,906","0.25","2021-12-31","Contractual","1,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","","","","Monetary/Dollars","26,725,797.00","27,303,567.00","23,310,538.00","23,834,750.00","22,890,729.00","23,712,272.00","27,033,032.00","27,147,052.00","27,714,556.00","61,623,145.00","52,169,150.00","45,592,806.00","18,116,266.00","18,141,092.00","17,904,564.00","17,529,541.00","17,024,044.00","15,233,398.00","15,220,518.00","15,017,316.00","14,787,872.00","13,978,440.00","13,968,124.00","13,979,733.00","13,446,159.00","13,610,076.00","13,210,282.00","12,594,343.00","12,745,216.00","13,899,221.00","14,756,310.00","13,761,288.00","13,982,767.00","14,980,199.00","16,169,864.00","16,386,652.00"
"Wells Fargo Ultra Short-Term Income C","WUSTX","US Fund Ultrashort Bond","Taxable Bond","Wells Fargo Funds","2008-07-18","Jay N. Mueller;Christopher Y. Kauffman;Michael J. Schueller;Noah M. Wise;","Bundled","1.45","1.45","1.45","1.45","2020-06-11","4,397,616.00","2020-06-11","994,552,982.00","No","0.35","1.25","C","No","-3.56","-1.19","-0.77","-915,749.12","-1,968,055.07","-3,754,723.94","-33,551,431.73","-477,941,273.28","-680,776,705.69","No","0.11","0.12","0.10","0.10","7,252","6,460","5,311","5,311","0.31","2021-12-31","Contractual","1,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","","","","Monetary/Dollars","6,806,984.00","6,253,696.00","6,123,956.00","6,101,645.00","5,937,864.00","5,808,213.00","5,739,960.00","5,758,238.00","5,791,963.00","5,661,903.00","5,543,344.00","5,508,228.00","5,146,472.00","5,195,055.00","5,135,225.00","5,071,070.00","4,982,465.00","5,151,057.00","5,122,501.00","5,052,844.00","5,122,149.00","5,255,094.00","5,729,439.00","6,720,251.00","6,621,671.00","5,069,956.00","4,806,227.00","4,754,589.00","5,001,673.00","5,319,550.00","5,123,155.00","5,255,486.00","5,087,968.00","4,682,312.00","4,636,847.00","4,536,876.00"
